index,s,v,a,Ftr,Fbr,Fres,Pwh,Pe,ue,Pm_pos,Pm_neg,Pb,Pb_pos,SOC,mf_dot,mf,lane_sequence,lane_changes
0,0.0,18.0,2.0,3306.068311080089,0.0,306.06831108010203,59509.229599441605,66727.88923422815,1.0,3.3838557438346795e-05,2043.944051282343,-1839.5496085557118,1.0713826157018533e-05,0.6,0.004770952246395877,0.0,1,"(0, 'LEFT', 1, 2)"
1,18.0,20.0,2.0,3335.391137325515,0.0,335.3911373255227,66707.8227465103,73859.64727123763,1.0,2.367327005304426e-05,1351.144309573623,-1216.0298523126276,1.9082480609295543e-05,0.6001021972004753,0.005270175308986634,0.004770952246395877,2,"(1, 'LEFT', 2, 3)"
2,38.0,22.0,2.0,3367.9112126753766,0.0,367.9112126753893,74094.04667885829,74999.99998003368,1.0,5537.007315525341,3.593046150106999e-05,6152.230318246297,6152.230344980423,0.6001697544144927,0.005349999998602358,0.010041127555382511,3,"(2, 'LEFT', 3, 4)"
3,60.0,24.0,1.6705267632802716,2909.418682055452,0.0,403.628537135064,69826.04836933085,74999.99998042894,1.0,897.8787181599273,3.627272130327097e-05,997.6429875322478,997.6430143210687,0.5998279638412561,0.005349999998630026,0.015391127553984868,4,"(35, 'RIGHT', 4, 3)"
4,84.0,25.670526763280307,0.3294732367197533,929.9491956639707,1.3366093298827764e-07,435.73934045077056,23872.285715782957,0.0,-0.0,25948.13668596055,3.83703821720191e-05,28831.262949867272,28831.262949867272,0.5997725392308377,0.0,0.020741127552614893,4,"(38, 'RIGHT', 3, 2)"
5,109.67052676328042,26.0,-0.67052676328278,1.4560765920578027e-07,564.2980866644365,441.49205840528765,3.785799139350287e-06,-8.470329472543003e-22,-0.0,4.634840978590821e-05,4.2233410721397024e-05,1.3488163446196238e-05,4.5153495041298786e-05,0.5981708024002895,-5.929230630780103e-29,0.020741127552614893,4,"(60, 'RIGHT', 2, 1)"
6,135.67052676328055,25.329473236717256,-2.3294732367169217,1.4946221360270708e-07,3067.524133104702,426.6857221201751,3.785799139350287e-06,-8.470329472543003e-22,-0.0,4.634840978590821e-05,4.2233410721397024e-05,1.3488163446196238e-05,4.5153495041298786e-05,0.5981708023995402,-5.929230630780103e-29,0.020741127552614893,4,
7,160.9999999999979,23.000000000000313,-3.5,1.6068809616904747e-07,4869.359517731716,380.6404824291002,3.6958262118881417e-06,-1.4952672617880164e-17,-0.0,4.661949211690053e-05,4.2602289712659336e-05,1.3457374944051633e-05,4.517500153951998e-05,0.598170802398791,-1.0466870832516116e-24,0.020741127552614893,4,
8,183.9999999999982,19.500000000000227,-3.5,1.899999054898445e-07,4929.8594398595305,320.1405603307514,3.7049981570520113e-06,1.8854953405880726e-18,-0.0,4.654557918151725e-05,4.251840727167999e-05,1.345074365717384e-05,4.5165612092605556e-05,0.5981708023980433,1.3198467384116509e-25,0.020741127552614893,4,
9,203.49999999999855,16.00000000000004,-3.5,2.335981264842498e-07,4980.567784734181,269.432215499385,3.737570023748006e-06,-5.091515045945599e-18,-0.0,4.649667858384887e-05,4.243410247107421e-05,1.3472283980309736e-05,4.5180330286283266e-05,0.598170802397296,-3.56406053216192e-25,0.020741127552614893,4,
