index,s,v,a,Ftr,Fbr,Fres,Pwh,Pe,ue,Pm_pos,Pm_neg,Pb,Pb_pos,SOC,mf_dot,mf,lane_sequence,lane_changes
0,0.0,19.5,1.1980624215149651,2125.6426084959257,1.0808571460074745e-06,328.548975142602,41450.03086567055,45749.112031433666,1.0,0.0001396361878900909,694.7307953409952,-625.2575606555758,8.591022324362652e-05,0.6,0.0033024378422003083,0.0,1,"(0, 'LEFT', 1, 2)"
1,19.5,20.698062421514976,1.0045591241069791,1853.558338495042,1.01835462373856e-06,346.71965131618106,38365.066192089966,42380.35000288023,1.0,0.00013922411833947046,679.1912376587347,-611.2719591993965,8.574629804643241e-05,0.6000347365311475,0.0030666245002016162,0.0033024378422003083,2,"(1, 'LEFT', 2, 3)"
2,40.198062421514976,21.70262154562198,0.7227381583262795,1446.7731596582662,0.0,362.6659221688858,31398.770346427074,34696.10269735926,1.0,0.0001294761053121929,567.0046241972401,-510.30401791517687,8.233196489573769e-05,0.6000686960844364,0.002528727188815148,0.0063690623424019245,3,"(2, 'LEFT', 3, 4)"
3,61.900683967136956,22.42535970394832,0.40504505855520234,981.9030511759747,0.0,374.3354633432374,22019.52911702561,24430.188728899957,1.0,0.00012708116631032773,495.91807660546436,-446.32612774362207,8.12654581075073e-05,0.600097046307654,0.0018101132110229972,0.008897789531217072,4,"(50, 'RIGHT', 4, 3)"
4,84.3260436710844,22.830404762503633,0.06601037165360135,479.60028301184366,7.355115485552233e-07,380.5847247957499,10949.468585371686,0.0,-0.0,11901.596453502387,0.0001650549022846337,13223.995910897685,13223.996026690547,0.6001218422036398,0.0,0.010707902742240068,4,"(51, 'RIGHT', 3, 2)"
5,107.15644843358804,22.896415134157355,-0.273264148033981,7.339602943375887e-07,29.18184565408012,380.7143771306435,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.00017097205911378865,0.5993871757641456,0.0,0.010707902742240068,4,"(62, 'RIGHT', 2, 1)"
6,130.0528635677454,22.623150986123512,-0.6244845235069663,7.42825771770235e-07,562.0603679365053,374.66641806695424,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.0001709720591137609,0.5993871757610808,0.0,0.010707902742240068,4,"(65, 'LEFT', 1, 2)"
7,152.6760145538689,21.998666462616423,-0.9806808178301645,7.639126498735521e-07,1108.568174046106,362.45305346317264,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.0001709720591137609,0.599387175758016,0.0,0.010707902742240068,4,"(70, 'LEFT', 2, 3)"
8,174.67468101648643,21.01798564478618,-1.3382003733007255,7.995561456342747e-07,1662.7839387709207,344.5166219798256,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.0001709720591137609,0.5993871757549513,0.0,0.010707902742240068,4,
9,195.6926666612726,19.679785271485386,-1.694272706314457,8.539249468077832e-07,2219.735117461642,321.6739428640224,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.0001709720591137609,0.5993871757518865,0.0,0.010707902742240068,4,
10,215.372451932758,17.985512565170893,-2.0451625182958324,9.3436645356913e-07,2772.6507057999415,295.0930725782167,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.00017097205911378865,0.5993871757488217,0.0,0.010707902742240068,4,
11,233.3579644979289,15.940350046875032,-2.3836794966478965,1.05424658440523e-06,3309.2325770155185,266.2866690105203,1.6805059591141753e-05,0.0,-0.0,0.00018343820021812784,0.00016517183109732159,5.5165574476997065e-05,0.0001709720591137609,0.599387175745757,0.0,0.010707902742240068,4,
12,249.29831454480393,13.556670550227171,-2.694384773020598,1.2382674463365966e-06,3804.467593603982,237.1095671651132,1.6786783823056345e-05,0.0,-0.0,0.00018353574832574715,0.00016528924417022473,5.5168289497627935e-05,0.00017092304408081183,0.5993871757426922,0.0,0.010707902742240068,4,
13,262.8549850950311,10.862285777206619,-2.94329834441117,1.5452669351164938e-06,4205.209654924396,209.7378632375406,1.6785131051303553e-05,0.0,-0.0,0.0001835180298441208,0.00016527332217963764,5.516293208734924e-05,0.00017092844295613085,0.5993871757396273,0.0,0.010707902742240068,4,
14,273.71727087223775,7.918987432795506,-3.055245737828904,2.1189048712492807e-06,4396.299995510956,186.56861335123224,1.6779581046712233e-05,0.0,-0.0,0.00018350485541016037,0.00016526618035936358,5.515472146563988e-05,0.00017093448799671007,0.5993871757365626,0.0,0.010707902742240068,4,
15,281.63625830503327,4.8637416949666505,-2.863741694966633,0.0,4125.728952361825,169.88359008815112,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5993871757334985,0.0,0.010707902742240068,4,
16,286.5,2.0,-2.0,6.873518429860795e-06,2839.0487509417785,160.9512559317399,1.374703685972159e-05,0.0,-0.0,1.4942431369262596e-05,0.0,1.6602701521402886e-05,1.6602701521402886e-05,0.5993871757334985,0.0,0.010707902742240068,4,
