index,s,v,a,Ftr,Fbr,Fres,Pwh,Pe,ue,Pm_pos,Pm_neg,Pb,Pb_pos,SOC,mf_dot,mf,lane_sequence,lane_changes
0,0.0,11.0,1.4485689110111934,2380.690844314484,0.0,207.83747779769476,26187.59928745932,36962.719072250184,1.0,2.4041363070083366e-05,8497.937262096631,-7648.143509174343,2.4468575588430796e-05,0.6,0.0026873903350574596,0.0,2,"(0, 'LEFT', 2, 3)"
1,11.0,12.448568911011204,0.7657123650305074,1369.5448418797419,3.8775874600105453e-07,220.9762939462506,17048.873340859907,0.0,-0.0,18531.38412475475,5.860267805114783e-05,20590.426752540647,20590.426812249807,0.6004248968616208,0.0,0.0026873903350574596,3,
2,23.448568911011204,13.214281276041692,0.06642615306579902,328.0245080318963,3.7838822208868805e-07,228.38527805482954,4334.608114568675,0.0,-0.0,4711.530616039924,5.672614759487382e-05,5235.033966768605,5235.034026479665,0.5992809842642575,0.0,0.0026873903350574596,3,
3,36.662850187052896,13.280707429107478,0.004255856634121091,235.02019041956567,3.7745826375612523e-07,228.63640509088114,3121.23438889538,0.0,-0.0,3392.646131467917,5.658163427407076e-05,3769.606761818659,3769.6068215295454,0.5989901490438884,0.0,0.0026873903350574596,3,
4,49.9435576161615,13.284963285741629,0.004305208770686519,234.67961524623394,3.7732564805992297e-07,228.22180171295844,3117.710072458189,0.0,-0.0,3388.8153527315185,5.658131305237568e-05,3765.350341000728,3765.3504007116253,0.5987807264460095,0.0,0.0026873903350574596,3,
5,63.22852090190313,13.289268494512262,0.004363957072162972,234.34645179786727,3.772825891701359e-07,227.80051581230228,3114.2929186781344,0.0,-0.0,3385.1010551436175,5.658042829854992e-05,3761.223343681634,3761.2234033924915,0.5985715403159539,0.0,0.0026873903350574596,3,
6,76.5177893964154,13.29363245158445,0.004430793311663628,234.01915776555148,0.0,227.37296779817063,3110.9646699645964,17814.465608222483,1.0,3.0464958694499666e-05,14432.982301769402,-12989.684037742507,2.2475913878206716e-05,0.5983625834635272,0.001347012592575574,0.0026873903350574596,3,
7,89.81142184799985,13.298063244896088,0.004504373352621549,233.6961290716216,0.0,226.93956904282496,3107.7059044818234,17812.74996601542,1.0,3.0466890777982453e-05,14434.80879595859,-12991.327882510632,2.247531749254364e-05,0.5990842325767352,0.0013468924976210797,0.004034402927633034,3,
8,103.10948509289594,13.302567618248682,0.004583321629310966,233.37570370214922,0.0,226.50072125833495,3104.496078954209,17811.060306954394,1.0,3.04687939758283e-05,14436.608077690351,-12992.9472360671,2.2474730166314322e-05,0.5998059730146524,0.0013467742214868076,0.005381295425254114,3,
9,116.41205271114463,13.307150939877953,0.004666235721399126,233.05616949851176,0.0,226.05681591655792,3101.3136249864765,17809.385269651008,1.0,3.0470681071839006e-05,14438.392229484216,-12994.552972679481,2.247414794936259e-05,0.6005278034166561,0.0013466569688755706,0.006728069646740923,3,
10,129.71920365102258,13.31181717559931,0.004751691010816295,232.73577022938193,0.0,225.60823371327604,3098.136023515821,17807.712998266332,1.0,3.0472565417098696e-05,14440.17387274344,-12996.15645161069,2.247356672043649e-05,0.6012497230262495,0.0013465399098786435,0.008074726615616493,3,
11,143.0310208266219,13.316568866610098,0.004838245407160269,232.41271218804653,0.0,225.15534407739563,3094.9398873277532,17806.03118621581,1.0,3.0474460881148302e-05,14441.966121768799,-12997.769475731408,2.2472982202360187e-05,0.6019717317180057,0.0013464221830351067,0.009421266525495136,3,
