key,value
"(0, 1)",0.00028682941969615793
"(0, 2)",0.00025182941969615794
"(0, 3)",0.00021682941969615793
"(1, 1)",0.0002871065219849789
"(1, 2)",0.00025210652198497894
"(1, 3)",0.0002171065219849789
"(2, 1)",0.0002873719003181212
"(2, 2)",0.0002523719003181212
"(2, 3)",0.0002173719003181212
"(3, 1)",0.0002876253728185312
"(3, 2)",0.00025262537281853123
"(3, 3)",0.00021762537281853125
"(4, 1)",0.0002878667657688185
"(4, 2)",0.0002528667657688185
"(4, 3)",0.00021786676576881846
"(5, 1)",0.0002880959137303126
"(5, 2)",0.0002530959137303126
"(5, 3)",0.00021809591373031262
"(6, 1)",0.0002883126596564471
"(6, 2)",0.0002533126596564471
"(6, 3)",0.00021831265965644708
"(7, 1)",0.00028851685500039075
"(7, 2)",0.00025351685500039076
"(7, 3)",0.00021851685500039075
"(8, 1)",0.00028870835981685474
"(8, 2)",0.00025370835981685476
"(8, 3)",0.00021870835981685472
"(9, 1)",0.00028888704285800365
"(9, 2)",0.00025388704285800366
"(9, 3)",0.00021888704285800362
"(10, 1)",0.0002890527816634065
"(10, 2)",0.00025405278166340653
"(10, 3)",0.00021905278166340652
"(11, 1)",0.000289205462643965
"(11, 2)",0.000254205462643965
"(11, 3)",0.00021920546264396498
"(12, 1)",0.00028934498115976154
"(12, 2)",0.00025434498115976155
"(12, 3)",0.00021934498115976154
"(13, 1)",0.00028947124159177455
"(13, 2)",0.00025447124159177456
"(13, 3)",0.00021947124159177455
"(14, 1)",0.0002895841574074108
"(14, 2)",0.0002545841574074108
"(14, 3)",0.0002195841574074108
"(15, 1)",0.0002896836512198105
"(15, 2)",0.0002546836512198105
"(15, 3)",0.00021968365121981048
"(16, 1)",0.0002897696548408844
"(16, 2)",0.00025476965484088444
"(16, 3)",0.00021976965484088443
"(17, 1)",0.00028984210932804673
"(17, 2)",0.00025484210932804675
"(17, 3)",0.00021984210932804674
"(18, 1)",0.00028990096502461106
"(18, 2)",0.0002549009650246111
"(18, 3)",0.00021990096502461106
"(19, 1)",0.0002899461815938229
"(19, 2)",0.0002549461815938229
"(19, 3)",0.00021994618159382293
"(20, 1)",0.00028997772804650434
"(20, 2)",0.00025497772804650436
"(20, 3)",0.00021997772804650437
"(21, 1)",0.0002899955827622925
"(21, 2)",0.0002549955827622925
"(21, 3)",0.0002199955827622925
"(22, 1)",0.00028999973350445703
"(22, 2)",0.00025499973350445705
"(22, 3)",0.00021999973350445704
"(23, 1)",0.0002899901774282866
"(23, 2)",0.0002549901774282866
"(23, 3)",0.0002199901774282866
"(24, 1)",0.0002899669210830384
"(24, 2)",0.0002549669210830384
"(24, 3)",0.00021996692108303844
"(25, 1)",0.0002899299804074499
"(25, 2)",0.0002549299804074499
"(25, 3)",0.00021992998040744991
"(26, 1)",0.00028987938071881487
"(26, 2)",0.0002548793807188149
"(26, 3)",0.00021987938071881487
"(27, 1)",0.0002898151566956324
"(27, 2)",0.0002548151566956324
"(27, 3)",0.00021981515669563238
"(28, 1)",0.0002897373523538399
"(28, 2)",0.0002547373523538399
"(28, 3)",0.00021973735235383986
"(29, 1)",0.00028964602101664677
"(29, 2)",0.0002546460210166468
"(29, 3)",0.00021964602101664677
"(30, 1)",0.0002895412252779895
"(30, 2)",0.0002545412252779895
"(30, 3)",0.00021954122527798953
"(31, 1)",0.0002894230369596327
"(31, 2)",0.0002544230369596327
"(31, 3)",0.00021942303695963273
"(32, 1)",0.00028929153706194614
"(32, 2)",0.00025429153706194615
"(32, 3)",0.00021929153706194612
"(33, 1)",0.000289146815708391
"(33, 2)",0.00025414681570839104
"(33, 3)",0.00021914681570839106
"(34, 1)",0.0002889889720837542
"(34, 2)",0.0002539889720837542
"(34, 3)",0.00021898897208375424
"(35, 1)",0.0002888181143661715
"(35, 2)",0.00025381811436617154
"(35, 3)",0.00021881811436617153
"(36, 1)",0.000288634359652988
"(36, 2)",0.00025363435965298803
"(36, 3)",0.00021863435965298805
"(37, 1)",0.0002884378338805054
"(37, 2)",0.0002534378338805054
"(37, 3)",0.00021843783388050543
"(38, 1)",0.0002882286717376715
"(38, 2)",0.0002532286717376715
"(38, 3)",0.00021822867173767145
"(39, 1)",0.00028800701657377096
"(39, 2)",0.000253007016573771
"(39, 3)",0.00021800701657377096
"(40, 1)",0.00028777302030018136
"(40, 2)",0.0002527730203001814
"(40, 3)",0.00021777302030018137
"(41, 1)",0.0002875268432862602
"(41, 2)",0.0002525268432862602
"(41, 3)",0.0002175268432862602
"(42, 1)",0.00028726865424943596
"(42, 2)",0.000252268654249436
"(42, 3)",0.00021726865424943594
"(43, 1)",0.0002869986301395777
"(43, 2)",0.0002519986301395777
"(43, 3)",0.00021699863013957768
"(44, 1)",0.0002867169560177223
"(44, 2)",0.0002517169560177223
"(44, 3)",0.00021671695601772228
"(45, 1)",0.0002864238249292429
"(45, 2)",0.00025142382492924294
"(45, 3)",0.00021642382492924293
"(46, 1)",0.0002861194377715454
"(46, 2)",0.0002511194377715454
