metric,method,mean,std,success_only
success,RF,1.0,0.0,False
success,HCS-i,0.5111111111111111,0.5001853797258282,False
success,OEAC-i,0.8925925925925926,0.30982182278427234,False
success,KINO,1.0,0.0,False
success,Full,1.0,0.0,False
equivalent_energy_kwh_total_adj,RF,1.3432665432985906,0.037714689873999604,False
equivalent_energy_kwh_total_adj,HCS-i,1.2999438961241583,0.13370365721767244,False
equivalent_energy_kwh_total_adj,OEAC-i,1.2598378249004718,0.0616717172025992,False
equivalent_energy_kwh_total_adj,KINO,1.2990316200992917,0.014030315357190811,False
equivalent_energy_kwh_total_adj,Full,0.8792452810071946,0.11788590024537615,False
equivalent_energy_kwh_per_km_adj,RF,0.48341970123922134,0.03683239146467718,False
equivalent_energy_kwh_per_km_adj,HCS-i,0.5696540325908492,0.021659958891375012,False
equivalent_energy_kwh_per_km_adj,OEAC-i,0.5707180396916802,0.00898212967818998,False
equivalent_energy_kwh_per_km_adj,KINO,0.43851712920371066,0.008031831533080737,False
equivalent_energy_kwh_per_km_adj,Full,0.29638649558095087,0.036490348923137066,False
distance_m,RF,2789.2091602341698,144.3478061963193,True
distance_m,HCS-i,2124.535013850222,25.631385882796977,True
distance_m,OEAC-i,2179.096301628957,20.58990878671447,True
distance_m,KINO,2963.074694128218,50.04496930750127,True
distance_m,Full,2963.0448984432564,50.07328999172435,True
travel_time_to_target_s_adj,RF,189.9760772715416,9.527934703578186,False
travel_time_to_target_s_adj,HCS-i,240.0,0.0,False
travel_time_to_target_s_adj,OEAC-i,240.0,0.0,False
travel_time_to_target_s_adj,KINO,177.46191634033738,3.5888917892026124,False
travel_time_to_target_s_adj,Full,178.38895290810646,3.462862718858863,False
comfort_sum_a2,RF,40.35979140150758,46.03606048631204,True
comfort_sum_a2,HCS-i,0.8392737257760133,0.701564968153983,True
comfort_sum_a2,OEAC-i,49.36599443023805,7.631070450696909,True
comfort_sum_a2,KINO,6.075342624349538,15.252887950801936,True
comfort_sum_a2,Full,6.134061334054711,15.11168934948393,True
comfort_sum_jerk2,RF,81.86396611655692,104.78009180109687,True
comfort_sum_jerk2,HCS-i,0.16149974925533023,1.341605076102561,True
comfort_sum_jerk2,OEAC-i,40.665191230224664,7.758994446922298,True
comfort_sum_jerk2,KINO,1.3625249304746485,3.5123416684216755,True
comfort_sum_jerk2,Full,1.4028334317134652,3.470232388303823,True
num_lane_changes,RF,0.13333333333333333,0.3401446649263721,True
num_lane_changes,HCS-i,0.0,0.0,True
num_lane_changes,OEAC-i,4.170124481327801,1.786403980391568,True
num_lane_changes,KINO,1.451851851851852,1.225311051158744,True
num_lane_changes,Full,1.4024691358024692,1.142933932886058,True
solver_time_sec,RF,0.0,0.0,False
solver_time_sec,HCS-i,3.752531239384193,3.7901445236186904,False
solver_time_sec,OEAC-i,1.191726024816514,0.47879643845361025,False
solver_time_sec,KINO,0.8731604911662915,0.18219890134805303,False
solver_time_sec,Full,15.320185185656136,7.639526541832328,False
