metric,mode,method,count,mean,std,min,median,max
comparison_target_m,success_only,KINO,810,2219.6159999999995,21.06066234576963,2177.28,2217.6,2257.92
comparison_target_m,success_only,Full,810,2219.6159999999995,21.06066234576963,2177.28,2217.6,2257.92
solver_time_sec,all_runs,RF,810,0.0,0.0,0.0,0.0,0.0
solver_time_sec,all_runs,HCS-i,810,3.752531239384193,3.7901445236186904,0.0,4.626061249931809,10.764866000041366
solver_time_sec,all_runs,OEAC-i,810,1.191726024816514,0.47879643845361025,0.0,1.3038456500507891,2.262873600004241
solver_time_sec,all_runs,KINO,810,0.8731604911662915,0.18219890134805303,0.4940001964569092,0.8680001497268677,1.5490002632141113
solver_time_sec,all_runs,Full,810,15.320185185656136,7.639526541832328,4.138999938964844,14.196000099182129,93.57100033760071
solver_time_sec,success_only,RF,810,0.0,0.0,0.0,0.0,0.0
solver_time_sec,success_only,HCS-i,414,7.341908946621247,1.3124004093880577,4.127957499935292,7.4478177999844775,10.764866000041366
solver_time_sec,success_only,OEAC-i,723,1.3351287414956796,0.2552324201630508,0.8773282999172807,1.3368509000865743,2.262873600004241
solver_time_sec,success_only,KINO,810,0.8731604911662915,0.18219890134805303,0.4940001964569092,0.8680001497268677,1.5490002632141113
solver_time_sec,success_only,Full,810,15.320185185656136,7.639526541832328,4.138999938964844,14.196000099182129,93.57100033760071
runtime_sec,all_runs,RF,810,0.019195145678442018,0.0057605882342327145,0.014177599921822548,0.017351149988826364,0.05634249991271645
runtime_sec,all_runs,HCS-i,810,3.752531239384193,3.7901445236186904,0.0,4.626061249931809,10.764866000041366
runtime_sec,all_runs,OEAC-i,810,1.191725698149516,0.47879633380984843,0.0,1.303845300048124,2.2628728999989107
runtime_sec,all_runs,KINO,810,0.8926845248128908,0.18308750296341184,0.5089213999453932,0.8887649999815039,1.572895499994047
runtime_sec,all_runs,Full,810,15.356991405063308,7.643581055644252,4.164700699970126,14.241468449996319,93.61202559992671
runtime_sec,success_only,RF,810,0.019195145678442018,0.0057605882342327145,0.014177599921822548,0.017351149988826364,0.05634249991271645
runtime_sec,success_only,HCS-i,414,7.341908946621247,1.3124004093880577,4.127957499935292,7.4478177999844775,10.764866000041366
runtime_sec,success_only,OEAC-i,723,1.3351283755202046,0.25523240611372255,0.8773279000306502,1.33685060008429,2.2628728999989107
runtime_sec,success_only,KINO,810,0.8926845248128908,0.18308750296341184,0.5089213999453932,0.8887649999815039,1.572895499994047
runtime_sec,success_only,Full,810,15.356991405063308,7.643581055644252,4.164700699970126,14.241468449996319,93.61202559992671
mip_gap,all_runs,RF,0,,0.0,,,
mip_gap,all_runs,HCS-i,0,,0.0,,,
mip_gap,all_runs,OEAC-i,0,,0.0,,,
mip_gap,all_runs,KINO,810,0.00015727826564113328,0.000247849980139353,0.0,0.0,0.0009310051092611506
mip_gap,all_runs,Full,810,0.00021144208061468526,9.950206675545721e-05,6.0632347093947366e-05,0.0002071918725700999,0.0009999623379346417
mip_gap,success_only,RF,0,,0.0,,,
mip_gap,success_only,HCS-i,0,,0.0,,,
mip_gap,success_only,OEAC-i,0,,0.0,,,
mip_gap,success_only,KINO,810,0.00015727826564113328,0.000247849980139353,0.0,0.0,0.0009310051092611506
mip_gap,success_only,Full,810,0.00021144208061468526,9.950206675545721e-05,6.0632347093947366e-05,0.0002071918725700999,0.0009999623379346417
obj_val,all_runs,RF,0,,0.0,,,
obj_val,all_runs,HCS-i,0,,0.0,,,
obj_val,all_runs,OEAC-i,0,,0.0,,,
obj_val,all_runs,KINO,810,-8880.088656068297,151.88996271450804,-9143.913170858637,-8839.168897644086,-8680.756106743429
obj_val,all_runs,Full,810,-8876.69697338719,151.58443760387445,-9140.819636608654,-8832.339309936506,-8679.759702491881
obj_val,success_only,RF,0,,0.0,,,
obj_val,success_only,HCS-i,0,,0.0,,,
obj_val,success_only,OEAC-i,0,,0.0,,,
obj_val,success_only,KINO,810,-8880.088656068297,151.88996271450804,-9143.913170858637,-8839.168897644086,-8680.756106743429
obj_val,success_only,Full,810,-8876.69697338719,151.58443760387445,-9140.819636608654,-8832.339309936506,-8679.759702491881
obj_bound,all_runs,RF,0,,0.0,,,
obj_bound,all_runs,HCS-i,0,,0.0,,,
obj_bound,all_runs,OEAC-i,0,,0.0,,,
obj_bound,all_runs,KINO,810,-8881.488695514994,152.12240734135113,-9143.913170858637,-8839.179117105872,-8683.461964766995
obj_bound,all_runs,Full,810,-8878.567968713995,151.27144697603242,-9141.457417475765,-8837.831387032631,-8682.22255503662
obj_bound,success_only,RF,0,,0.0,,,
obj_bound,success_only,HCS-i,0,,0.0,,,
obj_bound,success_only,OEAC-i,0,,0.0,,,
obj_bound,success_only,KINO,810,-8881.488695514994,152.12240734135113,-9143.913170858637,-8839.179117105872,-8683.461964766995
obj_bound,success_only,Full,810,-8878.567968713995,151.27144697603242,-9141.457417475765,-8837.831387032631,-8682.22255503662
gurobi_trust_level,all_runs,RF,0,,0.0,,,
gurobi_trust_level,all_runs,HCS-i,0,,0.0,,,
gurobi_trust_level,all_runs,OEAC-i,0,,0.0,,,
gurobi_trust_level,all_runs,KINO,0,,0.0,,,
