metric,scenario_id,method_short,count,mean,std,min,median,max
init_lane,B009,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,Full,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,HCS-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,KINO,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,OEAC-i,81,2.0,0.8215838362577492,1.0,2.0,3.0
init_lane,B010,RF,81,2.0,0.8215838362577492,1.0,2.0,3.0
v_init,B001,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B001,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B002,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B003,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B004,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B005,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B006,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B007,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B008,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B009,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
v_init,B010,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
SOC_init,B001,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B001,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B002,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B003,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B004,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B005,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B006,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B007,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B008,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B009,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B010,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B010,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B010,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B010,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
SOC_init,B010,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_speed_mps,B001,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B001,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B001,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B001,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B001,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B002,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B002,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B002,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B002,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B002,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B003,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B003,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B003,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B003,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B003,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B004,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B004,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B004,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B004,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B004,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B005,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B005,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B005,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B005,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B005,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B006,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B006,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B006,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B006,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B006,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B007,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B007,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B007,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B007,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B007,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B008,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B008,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B008,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B008,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B008,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B009,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B009,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B009,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B009,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B009,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B010,Full,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B010,HCS-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B010,KINO,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B010,OEAC-i,81,12.0,2.598076211353316,8.0,12.0,16.0
init_speed_mps,B010,RF,81,12.0,2.598076211353316,8.0,12.0,16.0
init_soc,B001,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B001,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B001,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B001,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B001,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B002,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B002,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B002,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B002,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B002,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B003,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B003,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B003,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B003,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B003,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B004,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B004,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B004,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B004,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B004,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B005,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B005,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B005,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B005,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B005,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B006,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B006,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B006,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B006,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B006,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B007,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B007,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B007,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B007,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B007,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B008,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B008,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B008,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B008,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B008,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B009,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B009,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B009,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B009,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B009,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B010,Full,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B010,HCS-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B010,KINO,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B010,OEAC-i,81,0.6,0.03286335345030995,0.56,0.6,0.64
init_soc,B010,RF,81,0.6,0.03286335345030995,0.56,0.6,0.64
infeasible,B001,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B001,HCS-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B001,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B001,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B001,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B002,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B002,HCS-i,81,0.5925925925925926,0.49441323247304414,0.0,1.0,1.0
infeasible,B002,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B002,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B002,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B003,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B003,HCS-i,81,0.25925925925925924,0.44095855184409843,0.0,0.0,1.0
infeasible,B003,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B003,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
infeasible,B003,RF,81,0.0,0.0,0.0,0.0,0.0
infeasible,B004,Full,81,0.0,0.0,0.0,0.0,0.0
infeasible,B004,HCS-i,81,0.5925925925925926,0.49441323247304414,0.0,1.0,1.0
infeasible,B004,KINO,81,0.0,0.0,0.0,0.0,0.0
infeasible,B004,OEAC-i,81,0.0,0.0,0.0,0.0,0.0
