k,s,v,a,lane_sequence,SOC,mf,Pe,Pm_pos,Pm_neg,Pb,Ftr,Fbr
0,0.0,19.0,0.9652070982374636,1,0.6,0.0,36526.80979491351,0.015374134476390439,0.022392917964455288,-0.0030712545275759368,1768.6662396862962,0.0
1,19.0,19.96520709823747,0.8146823519403728,2,0.6000000001706253,0.0026568766856439464,33781.326906500144,0.015374134271181587,0.022392918889647014,-0.003071255588258326,1556.6487311540047,0.0
2,38.96520709823747,20.779889450177848,0.5963896662680239,3,0.6000000003412506,0.005121569569098957,28035.12161312445,0.015374133769602621,0.022392921154114894,-0.00307125818358938,1241.2147566342974,0.0
3,59.745096548415276,21.376279116445875,0.3479760531856608,3,0.6000000005118584,0.007184028082017669,20386.030812822577,0.015374132712341872,0.022392925941287167,-0.0030712636667785953,877.3810347600535,0.0
4,81.12137566486115,21.72425516963154,0.08702568022296386,3,0.6000000006824842,0.008711050238915248,11586.785833369839,0.015374128886438264,0.022392943438206695,-0.0030712836650101764,490.6882388443091,0.0
5,102.84563083449251,21.81128084985451,-0.17723285799175148,3,0.600000000853111,0.009622125247251137,0.0,2241.671825960594,0.00769369135090585,2490.739548967333,94.55341095667292,0.0
6,124.65691168434702,21.63404799186276,-0.42598640228138596,3,0.599861626433724,0.009622125247251137,0.0,0.019037905730197507,0.015489970131651027,0.007212255470622417,0.0001508779472011199,282.9157120396758
7,146.29095967620978,21.20806158958138,-0.6891399892755041,3,0.5998616260330432,0.009622125247251137,0.0,0.01903790546180786,0.015489970362978053,0.007212254964217374,0.00015390846821255831,686.2011507233601
8,167.49902126579116,20.51892160030588,-0.9585565402458169,3,0.5998616256323623,0.009622125247251135,0.0,0.019037905389581403,0.015489970449948126,0.007212254805692689,0.00015907756791730973,1103.0796580989063
9,188.01794286609675,19.560365060060068,-1.2302742811340808,3,0.5998616252316815,0.009622125247251133,0.0,0.01903790535493755,0.015489970482325784,0.007212254738059627,0.0001668731678974502,1527.271644549989
10,207.5783079261568,18.330090778925992,-1.501865563491136,3,0.5998616248310007,0.009622125247251133,0.0,0.019037905339942568,0.015489970502827102,0.007212254702947353,0.00017807331579141036,1954.5500863545822
11,225.9083987050828,16.828225215434863,-1.7708184327410543,3,0.5998616244303199,0.009622125247251133,0.0,0.01903790531589132,0.0154899705188195,0.007212254661830585,0.00019396579089708403,2380.3437517702578
12,242.73662392051764,15.057406782693814,-2.0328618421314477,3,0.599861624029639,0.009622125247251133,0.0,0.019037905299808262,0.015489970533851902,0.0072122546304313594,0.00021677703324349,2797.2362175071203
13,257.7940307032102,13.024544790654373,-2.279119137857428,3,0.5998616236289582,0.009622125247251133,0.0,0.019037905285773763,0.015489970550521702,0.0072122545998346485,0.00025061144211950873,3190.698537630844
14,270.81857549386456,10.745425652796952,-2.4901884910897762,3,0.5998616232282774,0.009622125247251133,0.0,0.019037905259494618,0.015489970571533845,0.007212254551724671,0.00030376646010986933,3530.2151105701496
15,281.5640011466615,8.25523716170718,-2.62321014436965,3,0.5998616228275966,0.009622125247251133,0.0,0.019037905233206327,0.015489970599817673,0.007212254497060014,0.00039539746649645233,3749.918786058162
16,289.81923830836865,5.632027017337535,-2.5832923904324483,3,0.5998616224269158,0.009622125247251133,0.0,0.018191163685987645,0.016390843004134653,0.00546064539182064,0.00029408506336335506,3705.8624931680115
17,295.4512653257062,3.0487346269050897,-2.1602505836371564,3,0.5998616221235465,0.009622125247251133,0.0,0.0,0.0,0.0,0.0,3081.5230366245073
18,298.4999999526113,0.8884840432679382,-0.8884840432679373,3,0.5998616221235465,0.009622125247251133,0.0,0.0,0.0,0.0,0.0,1178.533733168545
19,299.38848399587926,0.0,1.111515955090835,3,0.5998616221235465,0.009622125247251133,0.0,0.0,0.0,0.0,1819.8894937888067,0.0
20,299.38848399587926,1.1115159550908353,2.0,3,0.5998616221235465,0.009622125247251133,0.0,3807.976018801108,0.0,4231.084465334565,3151.8557347300575,0.007692683751429286
21,300.4999999509701,3.1115159518334448,2.0,3,0.5996265618754724,0.009622125247251131,10666.969778855842,0.01537412679254912,0.022392951187890926,-0.0030712929662694774,3153.962856416119,0.0
22,303.6115159028032,5.111515950286034,2.0,3,0.5996265620460998,0.01046881313177104,17552.920114881927,0.015374131291890983,0.02239293236263114,-0.003071271024266936,3159.2741185696054,0.0
23,308.72303185308925,7.111515948404567,2.0,3,0.599626562216726,0.011797517539812775,24486.678315452697,0.01537413250995344,0.022392926831345205,-0.0030712646927068613,3167.7827563586766,0.0
24,315.83454780149384,9.111515946005197,2.0,3,0.5996265623873518,0.013611585021894463,31489.094046434668,0.015374134086461919,0.022392919723476713,-0.00307125654394913,3179.4884887556545,0.0
25,324.946063747499,11.111515942694734,2.0,3,0.5996265625579772,0.01591582160514489,38581.022806396795,0.0153741346234364,0.022392917302357207,-0.0030712537683032642,3194.3917200551623,0.0
26,336.05757969019373,13.111515936796676,1.9650470937366609,3,0.5996265627286024,0.018716493201592663,45036.11165113944,0.015374135086134303,0.022392915219705146,-0.003071251379807627,3160.06299054183,0.0
27,349.16909562699044,15.076563030533341,1.7643786401230805,3,0.5996265628992274,0.021969021017172425,47195.160872874025,0.015374135253391723,0.022392914468486423,-0.0030712505178692,2879.9363261927238,0.0
28,364.2456586575238,16.840941672372796,1.488991263159118,3,0.5996265630698525,0.025372682278273606,45545.609297538795,0.015374135124754633,0.02239291504712723,-0.003071251181576022,2488.1004228639677,0.0
29,381.0866003247067,18.329932935531936,1.1801189785889719,3,0.5996265632404776,0.02866087492910132,40733.50810590341,0.015374134775417173,0.022392916618828113,-0.003071252984259556,2044.4603442879056,0.0
30,399.4165332602386,19.510051914120883,0.8566602178188487,3,0.5996265634111028,0.03161222049651456,33418.55728407612,0.015374134243076636,0.022392919017753542,-0.0030712557347819247,1575.8577362787817,0.0
31,418.9265851743595,20.366712131939746,0.5277559404780587,3,0.5996265635817281,0.0340515195063999,24238.444834812482,0.015374133332238273,0.022392923133852802,-0.003071260451313885,1094.892619205349,0.0
32,439.2932973062992,20.89446807241781,0.1988823773965107,3,0.5996265637523537,0.03584821064483677,13831.777596428878,0.015374130559334662,0.022392935753188483,-0.0030712748897200118,609.023828092183,0.0
33,460.187765378717,21.093350449814324,-0.12449091666049927,2,0.5996265639229801,0.0369164350765868,2.802853487082757e-07,2889.7976190476193,0.007693684351966342,3210.879319070327,126.04003986552412,0.0
34,481.28111582853137,20.96885953315383,-0.4218541264434359,2,0.5994481817385873,0.03691643507660642,0.0,0.0190379056838696,0.015489970174944119,0.0072122553801831826,0.00015566419637894855,323.35903568776666
35,502.2499753616856,20.547005406710397,-0.7126233788833511,2,0.5994481813379064,0.03691643507660642,0.0,0.019037905444946043,0.015489970398207636,0.007212254913775399,0.00015886014425894494,767.7736500137662
36,522.796980768396,19.83438202782705,-0.9657448240502629,2,0.5994481809372256,0.03691643507660642,0.0,0.01903790539256007,0.015489970453581194,0.00721225480573256,0.00016456777594405896,1158.0910235482888
37,542.631362796223,18.868637203776792,-1.1250660694259529,2,0.5994481805365448,0.03691643507660642,0.0,0.01903790537566241,0.015489970473063327,0.007212254769423464,0.0001729907711506437,1411.1453520401055
